GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,2043392.0,2 043 392,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,1163670.0,1 163 670,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,4231883.0,4 231 883,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2010,2010,2010,AFR,Africa,RWA,Rwanda,,,,29.09605,29.10 [28.25-30.00],28.25282,29.99742
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,,,,150.05356,150.05 [35.92-237.98],35.9159,237.97698
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,,,,158.19351,158.19 [70.86-311.78],70.86348,311.7831
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,1657793.0,1 657 793,,
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,3175568.0,3 175 568,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,25.46291,25.46 [24.28-27.06],24.28279,27.061
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,493480.0,493 480,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,69.73096,69.73 [42.72-102.43],42.71558,102.43472
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,5811267.0,5 811 267,,
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,422933.0,422 933,,
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,4231883.0,4 231 883,,
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,6603261.0,6 603 261,,
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,3380568.0,3 380 568,,
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,2505794.0,2 505 794,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,2927780.0,2 927 780,,
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,549326.0,549 326,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,30.67032,30.67 [29.81-31.58],29.81355,31.57808
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,2043392.0,2 043 392,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,24.56931,24.57 [23.26-26.60],23.26218,26.60436
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,1163670.0,1 163 670,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,5576953.0,5 576 953,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,202.3027,202.30 [151.80-254.84],151.80489,254.84314
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,6637571.0,6 637 571,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,259161.0,259 161,,
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,2574090.0,2 574 090,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,,,,104.65321,104.65 [72.57-137.81],72.56575,137.8082
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2003,2003,2003,AFR,Africa,RWA,Rwanda,,,,51.47391,51.47 [49.49-53.54],49.49414,53.53519
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,5940533.0,5 940 533,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,11186029.0,11 186 029,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,25.73878,25.74 [24.82-26.80],24.81954,26.80407
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,4293184.0,4 293 184,,
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,2535594.0,2 535 594,,
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,857228.0,857 228,,
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,549326.0,549 326,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,85.5723,85.57 [66.44-105.43],66.43858,105.42636
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,3181252.0,3 181 252,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2007,2007,2007,AFR,Africa,RWA,Rwanda,,,,32.00022,32.00 [31.09-32.99],31.08922,32.995
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,,,,152.04492,152.04 [33.82-255.19],33.81899,255.1879
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,6879911.0,6 879 911,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2002,2002,2002,AFR,Africa,RWA,Rwanda,,,,64.10577,64.11 [61.31-67.03],61.30821,67.03428
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,109.49119,109.49 [91.34-128.80],91.34108,128.80261
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,2916902.0,2 916 902,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,308.03748,308.04 [229.02-391.39],229.01839,391.39056
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,3380568.0,3 380 568,,
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,857228.0,857 228,,
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,1144762.0,1 144 762,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2006,2006,2006,AFR,Africa,RWA,Rwanda,,,,33.90597,33.91 [32.92-34.97],32.91665,34.97058
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2012,2012,2012,AFR,Africa,RWA,Rwanda,,,,59.68531,59.69 [47.36-72.73],47.35596,72.72982
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,2354400.0,2 354 400,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2001,2001,2001,AFR,Africa,RWA,Rwanda,,,,66.66993,66.67 [63.83-69.58],63.8342,69.57807
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2005,2005,2005,AFR,Africa,RWA,Rwanda,,,,37.22999,37.23 [36.04-38.48],36.03722,38.47799
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,24.43232,24.43 [22.83-27.27],22.82996,27.27015
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,5940533.0,5 940 533,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,8829176.0,8 829 176,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,205153.0,205 153,,
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,549326.0,549 326,,
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,3612822.0,3 612 822,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2004,2004,2004,AFR,Africa,RWA,Rwanda,,,,122.47899,122.48 [43.48-206.10],43.48398,206.09997
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,,,,36.94164,36.94 [27.57-46.81],27.5702,46.80926
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,26.03663,26.04 [25.18-27.05],25.18312,27.04853
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
